rowIndex,date,description,debit,credit,balance,movement,rowStatus,rowConfidence,flags
0,2026-06-02,NEFT IN ORION LOGISTICS PVT LTD,,42500,826820,42500,reconciled,1,
1,2026-06-03,UPI/P2M/419283746/SWIFTPARCEL,1845.5,,824974.5,-1845.5,reconciled,1,
2,2026-06-05,RTGS OUT QUARTERLY VENDOR SETTLEMENT - HARBOURSIDE SUPPLIES LLP INV 2026/Q1/0884,96400,,728574.5,-96400,reconciled,1,
3,2026-06-07,CHQ DEP 004512,,18000,746574.5,18000,reconciled,1,
4,2026-06-09,BANK CHARGES - ACCOUNT MAINTENANCE,590,,745984.5,-590,reconciled,1,
5,2026-06-11,IMPS IN D. RAGHAVAN,,7250,753234.5,7250,reconciled,1,
6,2026-06-12,CARD PAYMENT REVERSAL - MERCHANT DISPUTE,-1250,,754484.5,1250,reconciled,1,
8,2026-06-16,NEFT OUT ANNUAL SOFTWARE LICENCE RENEWAL CLEARVIEW ANALYTICS - CONTRACT CV-8871-R,58900,,482784.5,-58900,reconciled,1,
9,2026-06-18,INTEREST CREDITED,,1402.75,484187.25,1402.75,reconciled,1,
10,2026-06-20,UPI/P2M/551209384/FUELMART,4310,,479877.25,-4310,reconciled,1,
11,2026-06-22,NEFT IN KESTREL INDUSTRIES,,155000,634877.25,155000,reconciled,1,
12,2026-06-25,GST PAYMENT - JUN 2026,38745.25,,596132,-38745.25,reconciled,1,
13,2026-06-27,ATM WDL MG ROAD BR,15000,,581132,-15000,reconciled,1,
14,2026-06-29,NEFT OUT RENT - PREMISES 4TH FLR,72000,,509132,-72000,reconciled,1,
15,2026-06-30,IMPS IN SETTLEMENT ADJUSTMENT,,9180,518312,9180,reconciled,1,
